Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,198013938860367;0,403184628512832;04:40:24.0740000;408366;100;8;500;8;23;8;0
OSGA (ContPruning mit Simplifizierung);20;522_pm10.tsv;0,270133705666645;0,392757992185333;04:40:24.0740000;243766;19;9;500;8;23;9;0
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;0;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;1;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;2;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;3;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;4;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;0,999999999999999;00:09:04.4340000;67166;100;5;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;6;400;3;7;5;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;7;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;8;400;3;5;4;0,5
GAprun;50;strogatz_vdp2.tsv;1;1;00:09:04.4340000;67166;100;9;400;3;3;3;0,5
